Identifier,Title,Description,Currency,Amount Awarded,Award Date,Recipient Org:Identifier,Recipient Org:Name,Funding Org:Identifier,Funding Org:Name,Grant Programme:Title,Publisher:Prefix,Publisher:Name,Licence,Licence Name,_recipient_id,_recipient_name,_recipient_type,_recipient_income,_recipient_is_grantmaker,_may_be_regranted,Location:ladcd,Location:ladnm,Location:utlacd,Location:utlanm,Location:rgncd,Location:rgnnm,Location:ctrycd,Location:ctrynm,Location:latitude,Location:longitude,Location:source,_last_updated
360G-tnlcomfund-0045288526,COVID-19 - Support for BAME Communities,Race Equality First Limited will provide support and assistance to victims of hate and discrimination across Cardiff Vale of Glamorgan Newport Bridgend Caerphilly Torfaen Merthyr Tydfil Blaenau Gwent Rhondda Cynon Taf Monmouthshire and Wrexham. In response to the COVID-19 they are targeting workers in Cardiff and Newport from Black and minority ethnic (BAME) communities in jobs affected by the crisis such as taxi-drivers and restaurant owners with advice and guidance in community languages. Bydd Race Equality First Limited yn darparu cefnogaeth a chymorth i ddioddefwyr casineb a gwahaniaethu ar draws Caerdydd Bro Morgannwg Casnewydd Pen-y-bont ar Ogwr Caerffili Torfaen Merthyr Tudful Blaenau Gwent Rhondda Cynon Taf Sir Fynwy a Wrecsam. Mewn ymateb i'r COVID-19 maent yn targedu gweithwyr yng Nghaerdydd a Chasnewydd o gymunedau Du a lleiafrifoedd ethnig mewn swyddi y mae'r argyfwng yn effeithio arnynt fel gyrwyr tacsi a pherchnogion bwytai gyda chyngor ac arweiniad mewn ieithoedd cymunedol.,GBP,10000,12/05/2020,GB-CHC-1143830,Race Equality First Limited,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-1143830,RACE EQUALITY FIRST LIMITED,registered-charity,274675,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.46233,-3.15867,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045288544,Covid-19 - Clase School Emergency Community Foodbank,Clase Primary School in Swansea have received £5500 to provide food and essential items for families and vulnerable individuals within their community who are struggling financially due to COVID-19. Mae Ysgol Gynradd Clase yn Abertawe wedi derbyn £5500 i ddarparu bwyd ac eitemau hanfodol i deuluoedd ac unigolion bregus yn eu cymuned sy'n ei chael hi'n anodd yn ariannol oherwydd COVID-19.,GBP,5500,12/05/2020,360g-tnlcomfung-org-ClasePrimarySchool,Clase Primary School,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),,,,,FALSE,FALSE,W06000011,Swansea,W06000011,Swansea,,,W92000004,Wales,51.663361,-3.94369,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045288830,COVID-19 - Care Support Package Project,Cwmbran Centre for Young People in Torfaen will use £8.860 to provide the disadvantaged young people they support with care packages following the COVID-19 outbreak. Bydd Canolfan Pobl Ifanc Cwmbran yn Nhorfaen yn defnyddio £8860 i ddarparu pecynnau gofal i'r bobl ifanc ddifreintiedig y maent yn eu cefnogi yn dilyn yr achos o COVID-19.,GBP,8860,12/05/2020,GB-CHC-1110726,Cwmbran Centre for Young People,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-1110726,CWMBRAN CENTRE FOR YOUNG PEOPLE,registered-charity,511798,FALSE,FALSE,W06000020,Torfaen,W06000020,Torfaen,,,W92000004,Wales,51.630692,-3.00648,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045289730,COVID-19 -Multi Organ Transplant Support: MOTS,Multi Organ Transplant Support in Newport will provide COVID-19 care packages and peer support for people affected by multi-organ transplants. £2460 will fund care packages and overnight accommodation. Bydd Cymorth Trawsblannu Aml-Organ yng Nghasnewydd yn darparu pecynnau gofal COVID-19 a chefnogaeth cymheiriaid i bobl y mae trawsblaniadau aml-organ yn effeithio arnynt. Bydd £2460 yn ariannu pecynnau gofal a llety dros nos,GBP,2460,12/05/2020,GB-CHC-1156562,Multi Organ Transplant Support: M.O.T.S,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-1156562,MULTI ORGAN TRANSPLANT SUPPORT: M.O.T.S,registered-charity,14232,FALSE,FALSE,W06000022,Newport,W06000022,Newport,,,W92000004,Wales,51.60817,-3.02826,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045289746,COVID-19 - Community Volunteer Coordinator,Salem Baptist Chapel in Rhondda Cynon Taf will use £10000 to provide a mobile service offering essential support to vulnerable individuals self-isolating as a result of the COVID-19 outbreak. Bydd Capel Bedyddwyr Salem yn Rhondda Cynon Taf yn defnyddio £10000 i ddarparu gwasanaeth symudol sy'n cynnig cefnogaeth hanfodol i unigolion bregus sy'n hunan-ynysu o ganlyniad i'r achosion o COVID-19.,GBP,10000,12/05/2020,360g-tnlcomfung-org-SalemBaptistChurch,Salem Baptist Church,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),,,,,FALSE,FALSE,W06000016,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf,,,W92000004,Wales,51.567291,-3.32451,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045289904,COVID-19 Denbigh Carnival Craft & Well being club,Denbigh Carnival will host an online craft and well-being club for children young people and families. They will provide an alternative way of celebrating the community as the annual Carnival had to be cancelled due to COVID-19. £3000 will fund art and crafts materials printing and volunteer expenses. Bydd Carnifal Dinbych yn cynnal clwb crefft a lles ar-lein ar gyfer plant pobl ifanc a theuluoedd. Byddant yn darparu ffordd arall o ddathlu'r gymuned gan fod yn rhaid canslo'r Carnifal blynyddol oherwydd COVID-19. Bydd £3000 yn ariannu deunyddiau celf a chrefft argraffu a threuliau gwirfoddolwyr.,GBP,3000,12/05/2020,360g-tnlcomfung-org-DenbighCarnival,Denbigh Carnival,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),,,,,FALSE,FALSE,W06000004,Denbighshire,W06000004,Denbighshire,,,W92000004,Wales,53.193699,-3.39318,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045290106,COVID-19 - ValePlus Engagement,Valeplus (Cymru) and Valeplus Extra in Barry £10000 will provide education and telephone support for people with learning disabilities. They will provide food deliveries and Learning Activity Packs for people who are vulnerable due to COVID-19. Bydd Valeplus (Cymru) a Valeplus Extra yn y Barri £10000 yn darparu addysg a chymorth ffôn i bobl ag anableddau dysgu. Byddant yn darparu danfoniadau bwyd a Phecynnau Gweithgaredd Dysgu i bobl sy'n agored i niwed oherwydd COVID-19.,GBP,10000,12/05/2020,GB-CHC-1099224,Valeplus (Cymru) & Valeplus Extra,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-1099224,VALEPLUS (CYMRU) & VALEPLUS EXTRA,registered-charity,468024,FALSE,FALSE,W06000014,Vale of Glamorgan,W06000014,Vale of Glamorgan,,,W92000004,Wales,51.406231,-3.29417,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045290144,COVID-19 Stay at Home and Grow Your Own,"Friends of Conwy Town	Conwy	£1025	Friends of Conwy Town will provide vegetable seeds to those who are at high risk of COVID-19 to encourage them to grow vegetables as a means of enjoyment as well as contribute to food during the crisis. £1025 will fund seeds and compost preparation costs staff translation and delivery costs. Bydd Friends of Conwy Town of  yn darparu hadau llysiau i'r rhai sydd â risg uchel o COVID-19 i'w hannog i dyfu llysiau fel ffordd o fwynhau yn ogystal â chyfrannu at fwyd yn ystod yr argyfwng. Bydd £1025 yn ariannu hadau a chompost costau paratoi staff costau cyfieithu a danfon.",GBP,1025,12/05/2020,360g-tnlcomfung-org-FriendsofConwyTown,Friends of Conwy Town,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),,,,,FALSE,FALSE,W06000003,Conwy,W06000003,Conwy,,,W92000004,Wales,53.288559,-3.78684,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045290160,COVID- 19 ENBYD,Gwallgofiaid Cyf in Gwynedd will use £9500 to create a collaboration project with young people in Blaenau Ffestiniog using video conferencing to provide opportunities for them to connect during the COVID-19 pandemic. Bydd Gwallgofiaid Cyf yng Ngwynedd yn defnyddio £9500 i greu prosiect cydweithredu â phobl ifanc ym Mlaenau Ffestiniog gan ddefnyddio fideo-gynadledda i ddarparu cyfleoedd iddynt gysylltu yn ystod y pandemig COVID-19.,GBP,9500,12/05/2020,GB-COH-4737171,Gwallgofiaid Cyf,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),,,,,FALSE,FALSE,W06000002,Gwynedd,W06000002,Gwynedd,,,W92000004,Wales,52.99601,-3.9244,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045290221,COVID-19 - Supporting Our Community,"Tredegar Arts Limited	Blaenau Gwent	£2500	Tredegar Arts Ltd in Blaenau Gwent will use £2500 towards their building’s increased running costs whilst it is being used as a base for the community’s response efforts during the COVID-19 pandemic. Bydd Tredegar Arts Ltd ym Mlaenau Gwent yn defnyddio £2500 tuag at gostau rhedeg uwch eu hadeilad tra bydd yn cael ei ddefnyddio fel sylfaen ar gyfer ymdrechion ymateb y gymuned yn ystod y pandemig COVID-19.",GBP,2500,12/05/2020,GB-COH-10832018,Tredegar Arts Limited,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-COH-10832018,TREDEGAR ARTS LTD,registered-company,,FALSE,FALSE,W06000019,Blaenau Gwent,W06000019,Blaenau Gwent,,,W92000004,Wales,51.7612,-3.243,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045290349,COVID-19 PISC - Helping Hand - COVID - 19,Polish Integration Support Centre CIC in Wrexham will use £10000 to adapt the support services they offer to the Polish community and ensure that the increasing demand for support created by Covid-19 is met. Bydd Canolfan Gymorth Integreiddio Gwlad Pwyl CIC yn Wrecsam yn defnyddio £10000 i addasu'r gwasanaethau cymorth y maent yn eu cynnig i'r gymuned Bwylaidd a sicrhau bod y galw cynyddol am gefnogaeth a grëwyd gan Covid-19 yn cael ei ateb.,GBP,10000,12/05/2020,GB-COH-11670611,Polish Integration Support Centre CIC,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-COH-11670611,POLISH INTEGRATION SUPPORT CENTRE CIC,registered-company,,FALSE,FALSE,W06000006,Wrexham,W06000006,Wrexham,,,W92000004,Wales,53.052601,-2.99945,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045290970,COVID-19 Make: Mochdre,Pigtown Theatre CIC in Conwy will bring the community together via social media and newsletters. They will provide some light relief and entertainment to help support people’s well-being. £8095 will fund the creation of 17 weeks of shows 17 short films 9 newsletters printing costs and props. Bydd Pigtown Theatre CIC yng Nghonwy yn dod â'r gymuned ynghyd trwy'r cyfryngau cymdeithasol a chylchlythyrau. Byddant yn darparu rhywfaint o ryddhad ysgafn ac adloniant i helpu i gefnogi llesiant pobl. Bydd £8095 yn ariannu creu 17 wythnos o sioeau 17 ffilm fer 9 cylchlythyr costau argraffu a phropiau.,GBP,8095,12/05/2020,GB-COH-09288856,Pigtown Theatre CIC,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-COH-09288856,PIGTOWN THEATRE C.I.C.,registered-company,,FALSE,FALSE,W06000003,Conwy,W06000003,Conwy,,,W92000004,Wales,53.287579,-3.76129,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045291015,COVID-19 - Women Connect After School Clubs Online,Women Connect First in Cardiff will use £9937 to provide online home education activities for black Asian and minority ethnic children and support with health and wellbeing for their parents during the COVID-19 lockdown. Bydd Women Connect First yng Nghaerdydd yn defnyddio £9937 i ddarparu gweithgareddau addysg gartref ar-lein ar gyfer plant du Asiaidd a lleiafrifoedd ethnig a chefnogaeth gydag iechyd a lles i'w rhieni yn ystod y cyfnod cloi COVID-19.,GBP,9937,12/05/2020,GB-CHC-1110834,Women Connect First,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-1110834,WOMEN CONNECT FIRST,registered-charity,372271,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.487049,-3.19817,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045291157,COVID-19 - Listening Ears Online Support,Rumney Gospel Chapel in Cardiff have received £10000 to provide online support for young people experiencing adverse mental health and wellbeing or at risk of abuse due to COVID-19 Mae Capel Efengyl Rumney yng Nghaerdydd wedi derbyn £10000 i ddarparu cefnogaeth ar-lein i bobl ifanc sy'n profi iechyd meddwl a lles niweidiol neu sydd mewn perygl o gael eu cam-drin oherwydd COVID-19.,GBP,10000,12/05/2020,GB-CHC-1147003,Rumney Gospel Chapel,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-1147003,RUMNEY GOSPEL CHAPEL,registered-charity,17390,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.503319,-3.12293,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045291460,COVID-19 - Calm Crafts and Activities,Single Parents Wellbeing CIC in Cardiff will use £9990 to provide online crafting sessions help with home education and social support networks for single parents and their children during COVID-19. Bydd CBC Lles Rhiant Sengl yng Nghaerdydd yn defnyddio £9990 i ddarparu sesiynau crefftio ar-lein help gydag addysg gartref a rhwydweithiau cymorth cymdeithasol i rieni sengl a'u plant yn ystod COVID-19.,GBP,9990,12/05/2020,GB-COH-11101717,Single Parents Wellbeing CIC,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-COH-11101717,SINGLE PARENTS WELLBEING CIC,registered-company,,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.46233,-3.15867,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045292014,COVID-19 - Supporting the vulnerable and homeless through Coronavirus.,Helping Caring Team in Newport will use £6000 to support homeless people with food household items and emergency accommodation during the COVID-19 crisis. Bydd y Helping Caring Team yng Nghasnewydd yn defnyddio £6000 i gefnogi pobl ddigartref gyda bwyd eitemau cartref a llety brys yn ystod argyfwng COVID-19.,GBP,6000,12/05/2020,GB-CHC-1189021,Helping Caring Team,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-1189021,HELPING CARING TEAM,registered-charity,,FALSE,FALSE,W06000022,Newport,W06000022,Newport,,,W92000004,Wales,51.583321,-2.99692,recipientOrganizationLocation,03:24.7
360G-tudortrust-93747,Grant to Community Action Machynlleth and District (COVID19 Grant),as emergency funding towards the additional costs of supporting volunteers and clients across Powys during the Coronavirus crisis,GBP,1500,12/05/2020,GB-CHC-1071497,Community Action Machynlleth and District,GB-CHC-1105580,The Tudor Trust,,360G-tudortrust,The Tudor Trust,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1071497,COMMUNITY ACTION MACHYNLLETH AND DISTRICT,registered-charity,65717,FALSE,FALSE,W06000023,Powys,W06000023,Powys,,,W92000004,Wales,,,beneficiaryLocation,03:24.7
360G-WCVA-24573,Voluntary Services Emergency Fund,"Gilfach Goch Community Association is offering a COVID 19 Information Advice Service, Distribution of Food Hampers, Fruit and Veg Boxes, Hot Cooked Meals, Information Leaflets, Therapeutic Activity Packs, Children and Young People Activity Packs and social media groups to reduce feelings of isolation for all age groups.  ",GBP,98006.68,13/05/2020,360G-WCVA-0010N00004M8mjRQAR,Gilfach Goch Community Association,GB-CHC-218093,Wales Council for Voluntary Action,Voluntary Services Emergency Fund (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000016,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf,,,W92000004,Wales,51.58404295,-3.468593872,recipientOrganizationPostcode,03:24.7
360G-WCVA-24574,Voluntary Services Emergency Fund,Fuel Training PPE Medical consumables Uniforms ID cards and basic running costs that are escalating due to the demand of our service client list which currently stands at over 300 people in the community as of today. ,GBP,10490,13/05/2020,360G-WCVA-0014G00002PDTWcQAP,Accredilink Community Response Taskforce Cyf,GB-CHC-218093,Wales Council for Voluntary Action,Voluntary Services Emergency Fund (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000003,Conwy,W06000003,Conwy,,,W92000004,Wales,53.29319485,-3.721657708,recipientOrganizationPostcode,03:24.7
360G-WCVA-24575,Voluntary Services Emergency Fund,Stow park Community Centre will run its Foodbank to alleviate hunger and extreme hardship for people financially hit by the CoronaVirus. It will also deliver food/ prepared meals to those unable to leave their homes. Once the lockdown is lifted volunteers will encourage people back to their past social routines ,GBP,18420,13/05/2020,360G-WCVA-0010N00004M8qLfQAJ,Stow Park Community Centre,GB-CHC-218093,Wales Council for Voluntary Action,Voluntary Services Emergency Fund (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000022,Newport,W06000022,Newport,,,W92000004,Wales,51.58653766,-3.018486773,recipientOrganizationPostcode,03:24.7
360G-WCVA-24576,Voluntary Services Emergency Fund,"The provision of essential PPE items to our workforce across Wales caring for children and adults with disabilities, chronic physical illnesses or severe mental illness, in community, home and inpatient settings. This will allow us to work safely, protecting our vulnerable service users and our staff team.  ",GBP,19282,13/05/2020,360G-WCVA-0010N00004M8mmbQAB,Hafal,GB-CHC-218093,Wales Council for Voluntary Action,Voluntary Services Emergency Fund (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000011,Swansea,W06000011,Swansea,,,W92000004,Wales,51.6627798,-3.89906136,recipientOrganizationPostcode,03:24.7
360G-WCVA-24577,Voluntary Services Emergency Fund,"We will be providing telephone and on-line peer support services for kidney patients in Wales, as well as an emergency fund. ",GBP,26873.6,13/05/2020,360G-WCVA-0010N00004KBhCRQA1,"Paul Popham Fund, Renal Support Wales",GB-CHC-218093,Wales Council for Voluntary Action,Voluntary Services Emergency Fund (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000011,Swansea,W06000011,Swansea,,,W92000004,Wales,51.61526806,-3.96258008,recipientOrganizationPostcode,03:24.7
360G-WCVA-24578,Voluntary Services Emergency Fund,"The CIi is providing critical support for our most vulnerable and isolated community members. Supporting those who are long-term unemployed, socially isolated, from domestic abuse backgrounds and have drug and alcohol dependency issues, the Cii is reacting to increased demand in providing critical mental health and wellbeing support and guidance. ",GBP,18285,13/05/2020,360G-WCVA-0010N00004M8qvnQAB,The Community Impact Initiative,GB-CHC-218093,Wales Council for Voluntary Action,Voluntary Services Emergency Fund (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000013,Bridgend,W06000013,Bridgend,,,W92000004,Wales,51.52757345,-3.592460933,recipientOrganizationPostcode,03:24.7
360G-WCVA-24581,Voluntary Services Emergency Fund,"By securing funding we will be able to offer a fit-for-purpose project that can provide emergency support at a time of crisis.  Delivering emergency food parcels/basic hygiene essentials, providing access to food on a weekly basis, and setting up and operating a new food-bank.    ",GBP,31690,13/05/2020,360G-WCVA-0014G00002PDbIGQA1,The Parish of Treharris Trelewis Bedlinog & Llanfabon,GB-CHC-218093,Wales Council for Voluntary Action,Voluntary Services Emergency Fund (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000024,Merthyr Tydfil,W06000024,Merthyr Tydfil,,,W92000004,Wales,51.6587517,-3.301743516,recipientOrganizationPostcode,03:24.7
360G-WCVA-24582,Voluntary Services Emergency Fund,"Funding from the VSEF will enable trained Royal Voluntary Service volunteers and staff to provide essential support to older people across Wales. This includes ensuring people can access essential medical appointments, have someone to pick up groceries and household items and telephone support to provide companionship and a welfare check. ",GBP,23218.58,13/05/2020,360G-WCVA-0010N00004M8mmhQAB,Royal Voluntary Service - Cardiff,GB-CHC-218093,Wales Council for Voluntary Action,Voluntary Services Emergency Fund (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.53585771,-3.138585007,recipientOrganizationPostcode,03:24.7
360G-WCVA-24583,Voluntary Services Emergency Fund,"No older person should find themselves without food, access to medication or a friendly voice that cares.  Our volunteers will reassure older people that whilst they may feel isolated, they are not alone.  ",GBP,18640.1,13/05/2020,360G-WCVA-0010N00004M8mj6QAB,Age Connects Morgannwg,GB-CHC-218093,Wales Council for Voluntary Action,Voluntary Services Emergency Fund (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000016,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf,,,W92000004,Wales,51.60740945,-3.34220187,recipientOrganizationPostcode,03:24.7
360G-WCVA-24584,Third Sector Resilience Fund for Wales,"To continue maintaining the level of services that we currently do. Our Sleep and support services, Our LeAP (Legal advice support). Our CIC (Cerebra Innovation Centre)  The survival funding would allow us to maintain these services in full. Staff would not need to be furloughed and the communication with families will be maintained. The money would go towards employment costs, overhead costs including (rent, rates, heat, light, power and general administrative office costs)",GBP,75000,13/05/2020,360G-WCVA-0010N00004M8mnLQAR,Cerebral Palsey Cymru (formerly Bobath),GB-CHC-218093,Wales Council for Voluntary Action,Third Sector Resilience Fund for Wales (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.51912618,-3.231989185,recipientOrganizationPostcode,03:24.7
360G-WCVA-24585,Third Sector Resilience Fund for Wales,Third Sector Resilience Fund for Wales,GBP,40000,13/05/2020,360G-WCVA-0010N00004M8qxsQAB,Cardiff City Community Table Tennis Club,GB-CHC-218093,Wales Council for Voluntary Action,Third Sector Resilience Fund for Wales (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.49593783,-3.186433122,recipientOrganizationPostcode,03:24.7
360G-GWF-94324_2020-05-14,Main Grants award - COVID19 response,Growing Garnant,GBP,10000,14/05/2020,GB-CHC-1086340,Garnant Family Centre,GB-CHC-230260,Garfield Weston Foundation,Community,360G-GWF,Garfield Weston Foundation,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1086340,GARNANT FAMILY CENTRE,registered-charity,33773,FALSE,FALSE,W06000010,Carmarthenshire,W06000010,Carmarthenshire,,,W92000004,Wales,51.80298367,-3.904788871,recipientOrganizationPostcode,03:24.7
360G-tnlcomfund-0045284386,Covid-19 Accessible COVID-19 Information Project,The Centre of Sign-Sight-Sound have received £59026 to provide support to people with sensory loss to enable them to access information about COVID-19 available services and other useful information such as finances in an accessible format such as British Sign Language. The project will cover Anglesey Gwynedd Conwy Denbighshire Flintshire and Wrexham but the accessible information formats will be available for use Wales wide. Mae'r Ganolfan Arwyddo Sain a Golwg wedi derbyn £59026 i ddarparu cefnogaeth i bobl â cholled synhwyraidd i'w galluogi i gael gafael ar wybodaeth am COVID-19 y gwasanaethau sydd ar gael a gwybodaeth ddefnyddiol arall fel arian mewn fformat hygyrch fel Iaith Arwyddion Prydain . Bydd y prosiect yn ymdrin â Ynys Môn Gwynedd Conwy Sir Ddinbych Sir y Fflint a Wrecsam ond bydd y fformatau gwybodaeth hygyrch ar gael i'w defnyddio ledled Cymru.,GBP,59026,14/05/2020,GB-CHC-1048017,Centre of Sign-Sight-Sound (Y Ganolfan Arwyddo Sain a Golwg),GB-GOR-PB188,The National Lottery Community Fund,People and Places 3,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-1048017,CENTRE OF SIGN-SIGHT-SOUND (Y GANOLFAN ARWYDDO-GOLWG-SAIN),registered-charity,534073,FALSE,FALSE,W06000003,Conwy,W06000003,Conwy,,,W92000004,Wales,53.28878,-3.73792,recipientOrganizationLocation,03:24.7
